Device Name,Device ID
T003,03c26770-f1ed-11ef-b2fb-b51d9073de7b
PUMP-0101,1ba2f9b0-f1cd-11ef-b2fb-b51d9073de7b
Test Device A1,213e1d60-f055-11ef-876e-1be9b61b1133
Test Device A2,21585c20-f055-11ef-876e-1be9b61b1133
Test Device A3,215bde90-f055-11ef-876e-1be9b61b1133
Test Device B1,215e4f90-f055-11ef-876e-1be9b61b1133
Test Device C1,21602450-f055-11ef-876e-1be9b61b1133
DHT11 Demo Device,216183e0-f055-11ef-876e-1be9b61b1133
Raspberry Pi Demo Device,21637fb0-f055-11ef-876e-1be9b61b1133
Thermostat T1,216b20d0-f055-11ef-876e-1be9b61b1133
Thermostat T2,216cce80-f055-11ef-876e-1be9b61b1133
T004,29538fa0-f1ed-11ef-b2fb-b51d9073de7b
HUM-0100,35fcd840-f1cc-11ef-b2fb-b51d9073de7b
POW001,500dd910-f1ee-11ef-b2fb-b51d9073de7b
COND-0100,5dadd330-f1cc-11ef-b2fb-b51d9073de7b
CF001,6af29d10-f1ee-11ef-b2fb-b51d9073de7b
MOIST-0100,7a44b400-f1cc-11ef-b2fb-b51d9073de7b
FD-0100,8f651c60-f1ce-11ef-b2fb-b51d9073de7b
T005,94a48d90-f1ed-11ef-b2fb-b51d9073de7b
CAM-0100,9c0d3b70-f1cc-11ef-b2fb-b51d9073de7b
TEMP-0700,a3ae2e20-126a-11f0-9b61-fbae16f6d273
PUMP-0801,a3cbef50-126a-11f0-9b61-fbae16f6d273
CF008,a3d69db0-126a-11f0-9b61-fbae16f6d273
TEMP-0800,a3e061b0-126a-11f0-9b61-fbae16f6d273
WV-0200,a3e89f10-126a-11f0-9b61-fbae16f6d273
PUMP-0900,a3f681c0-126a-11f0-9b61-fbae16f6d273
CF009,a401f370-126a-11f0-9b61-fbae16f6d273
HUM-0200,a40a7ef0-126a-11f0-9b61-fbae16f6d273
WV-0300,a41c8050-126a-11f0-9b61-fbae16f6d273
TEMP-0900,a425a810-126a-11f0-9b61-fbae16f6d273
PUMP-0901,a4307d80-126a-11f0-9b61-fbae16f6d273
CAM-0800,a437a970-126a-11f0-9b61-fbae16f6d273
WV-0400,a43efc70-126a-11f0-9b61-fbae16f6d273
B002,a446c4a0-126a-11f0-9b61-fbae16f6d273
CAM-0300,a44e17a0-126a-11f0-9b61-fbae16f6d273
COND-0200,a45606e0-126a-11f0-9b61-fbae16f6d273
HUM-0300,a45d32d1-126a-11f0-9b61-fbae16f6d273
B003,a464d3f0-126a-11f0-9b61-fbae16f6d273
WV-0500,a46bd8d0-126a-11f0-9b61-fbae16f6d273
COND-0300,a471f350-126a-11f0-9b61-fbae16f6d273
B004,a478d120-126a-11f0-9b61-fbae16f6d273
HUM-0400,a47e7670-126a-11f0-9b61-fbae16f6d273
B005,a485f080-126a-11f0-9b61-fbae16f6d273
CAM-0900,a48c5920-126a-11f0-9b61-fbae16f6d273
WV-0600,a49336f0-126a-11f0-9b61-fbae16f6d273
B006,a49a3bd0-126a-11f0-9b61-fbae16f6d273
COND-0400,a4a00830-126a-11f0-9b61-fbae16f6d273
B007,a4a73420-126a-11f0-9b61-fbae16f6d273
HUM-0500,a4aeae30-126a-11f0-9b61-fbae16f6d273
WV-0700,a4b45380-126a-11f0-9b61-fbae16f6d273
MOIST-0200,a4bb0a40-126a-11f0-9b61-fbae16f6d273
B008,a4c06170-126a-11f0-9b61-fbae16f6d273
COND-0500,a4c6f120-126a-11f0-9b61-fbae16f6d273
B009,a4cd32b0-126a-11f0-9b61-fbae16f6d273
WV-0800,a4d41080-126a-11f0-9b61-fbae16f6d273
HUM-0600,a4db3c70-126a-11f0-9b61-fbae16f6d273
CAM-0400,a4e1cc20-126a-11f0-9b61-fbae16f6d273
PUMP-0200,a4e99450-126a-11f0-9b61-fbae16f6d273
MOIST-0300,a4f09930-126a-11f0-9b61-fbae16f6d273
COND-0600,a4f701d0-126a-11f0-9b61-fbae16f6d273
WV-0900,a4fd6a70-126a-11f0-9b61-fbae16f6d273
PUMP-0201,a503ac00-126a-11f0-9b61-fbae16f6d273
HUM-0700,a50a89d0-126a-11f0-9b61-fbae16f6d273
MOIST-0400,a5105630-126a-11f0-9b61-fbae16f6d273
COND-0700,a51697c0-126a-11f0-9b61-fbae16f6d273
PUMP-0300,a51ba0d0-126a-11f0-9b61-fbae16f6d273
COND-0800,a5214620-126a-11f0-9b61-fbae16f6d273
MOIST-0500,a527aec0-126a-11f0-9b61-fbae16f6d273
HUM-0800,a52dc940-126a-11f0-9b61-fbae16f6d273
PUMP-0301,a533e3c0-126a-11f0-9b61-fbae16f6d273
FD-0200,a539fe40-126a-11f0-9b61-fbae16f6d273
COND-0900,a53f0750-126a-11f0-9b61-fbae16f6d273
MOIST-0600,a5445e80-126a-11f0-9b61-fbae16f6d273
HUM-0900,a58deaa0-126a-11f0-9b61-fbae16f6d273
PUMP-0400,a59368e0-126a-11f0-9b61-fbae16f6d273
CAM-0200,a5989900-126a-11f0-9b61-fbae16f6d273
MOIST-0700,a59df030-126a-11f0-9b61-fbae16f6d273
PUMP-0401,a5a32050-126a-11f0-9b61-fbae16f6d273
FD-0300,a5a82960-126a-11f0-9b61-fbae16f6d273
CAM-0500,a5ae1cd0-126a-11f0-9b61-fbae16f6d273
MOIST-0800,a5b325e0-126a-11f0-9b61-fbae16f6d273
PUMP-0500,a5b82ef0-126a-11f0-9b61-fbae16f6d273
MOIST-0900,a5bd3800-126a-11f0-9b61-fbae16f6d273
PUMP-0501,a5c32b70-126a-11f0-9b61-fbae16f6d273
FD-0400,a5c8d0c0-126a-11f0-9b61-fbae16f6d273
TEMP-0200,a5ce27f0-126a-11f0-9b61-fbae16f6d273
CF002,a5d35810-126a-11f0-9b61-fbae16f6d273
PUMP-0600,a5daab10-126a-11f0-9b61-fbae16f6d273
CF003,a5e00240-126a-11f0-9b61-fbae16f6d273
FD-0500,a5e55970-126a-11f0-9b61-fbae16f6d273
TEMP-0300,a5ea6280-126a-11f0-9b61-fbae16f6d273
CAM-0600,a5efe0c0-126a-11f0-9b61-fbae16f6d273
CF004,a5f5fb40-126a-11f0-9b61-fbae16f6d273
PUMP-0601,a5fa6810-126a-11f0-9b61-fbae16f6d273
FD-0600,a600a9a0-126a-11f0-9b61-fbae16f6d273
TEMP-0400,a605d9c0-126a-11f0-9b61-fbae16f6d273
PUMP-0700,a60b7f10-126a-11f0-9b61-fbae16f6d273
FD-0700,a6112460-126a-11f0-9b61-fbae16f6d273
TEMP-0500,a616c9b0-126a-11f0-9b61-fbae16f6d273
