id,soil_moisture,soil_temperature,soil_electrocoductivity,battery_level,createdAt,sensor_id,owner
154844,16,22.7,32,86,"2021-08-01 00:17:04",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154846,29,21.1,160,8,"2021-08-01 00:18:23",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154870,16,22.6,32,86,"2021-08-01 00:47:15",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154872,29,21,160,8,"2021-08-01 00:48:46",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154896,16,22.4,32,86,"2021-08-01 01:17:27",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154899,29,20.9,159,0,"2021-08-01 01:19:11",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154922,16,22.3,32,86,"2021-08-01 01:47:37",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154925,29,20.8,159,0,"2021-08-01 01:49:34",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154948,16,22.2,32,86,"2021-08-01 02:17:49",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154973,16,22.1,32,86,"2021-08-01 02:47:59",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154977,29,20.6,158,0,"2021-08-01 02:50:21",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
154999,16,21.9,32,86,"2021-08-01 03:18:09",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155003,29,20.5,159,0,"2021-08-01 03:20:43",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155024,16,21.8,32,86,"2021-08-01 03:48:19",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155047,16,21.7,32,86,"2021-08-01 04:18:31",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155050,29,20.3,155,0,"2021-08-01 04:21:30",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155070,16,21.6,32,86,"2021-08-01 04:48:41",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155074,29,20.2,157,0,"2021-08-01 04:51:53",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155094,16,21.5,32,86,"2021-08-01 05:18:53",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155098,29,20.2,159,8,"2021-08-01 05:22:18",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155118,16,21.4,32,86,"2021-08-01 05:49:07",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155141,16,21.4,32,86,"2021-08-01 06:19:23",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155146,29,20,159,29,"2021-08-01 06:23:12",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155167,16,21.4,32,86,"2021-08-01 06:49:42",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155171,29,20,159,8,"2021-08-01 06:53:39",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155191,16,21.5,32,86,"2021-08-01 07:19:59",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155194,33,19.9,196,142,"2021-08-01 07:24:05",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155215,16,21.6,32,86,"2021-08-01 07:50:18",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155223,32,19.9,190,72,"2021-08-01 07:55:47",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155241,16,21.7,32,86,"2021-08-01 08:20:36",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155249,32,19.9,187,79,"2021-08-01 08:26:11",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155265,16,21.9,32,86,"2021-08-01 08:50:56",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155273,31,20,180,86,"2021-08-01 08:56:37",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155290,16,22.1,32,86,"2021-08-01 09:21:19",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155298,31,20,180,93,"2021-08-01 09:27:03",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155315,16,22.3,32,86,"2021-08-01 09:51:38",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155323,31,20.1,178,93,"2021-08-01 09:57:29",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155339,16,22.5,32,86,"2021-08-01 10:21:58",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155346,31,20.2,177,93,"2021-08-01 10:27:55",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155362,16,22.8,32,86,"2021-08-01 10:52:19",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155369,31,20.3,174,93,"2021-08-01 10:58:22",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155386,16,23.1,32,86,"2021-08-01 11:22:42",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155408,16,23.4,32,86,"2021-08-01 11:53:04",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155415,30,20.6,173,93,"2021-08-01 11:59:21",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155433,16,23.6,32,86,"2021-08-01 12:23:27",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155440,30,20.8,171,93,"2021-08-01 12:29:51",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155458,16,23.9,32,86,"2021-08-01 12:53:50",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155464,30,20.9,171,93,"2021-08-01 13:00:20",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155481,16,24.1,32,86,"2021-08-01 13:24:13",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155487,30,21.1,171,93,"2021-08-01 13:30:51",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155504,16,24.3,32,86,"2021-08-01 13:54:37",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155534,30,21.4,169,100,"2021-08-01 14:31:48",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155550,16,24.6,32,86,"2021-08-01 14:55:20",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155574,16,24.6,32,86,"2021-08-01 15:29:37",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155580,30,21.6,167,100,"2021-08-01 15:32:41",A303,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
155598,16,24.6,32,86,"2021-08-01 16:00:00",A301,6f6db310-75e6-4dc3-b490-31f70dfa2fc7
